,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,1.0,1.0,1.0,1.0,32768,1295,0,0,0.0,5.680822869180702e-05,5233,"[(32, 'relu'), (48, 'swish'), (32, 'elu')]","[4, 9, 5, 15]"
1,1.0,1.0,1.0,1.0,32768,1295,0,0,0.0,1.9547778720152564e-06,9961,"[(48, 'relu'), (16, 'swish'), (40, 'elu'), (16, 'swish'), (48, 'swish'), (48, 'relu'), (32, 'relu')]","[10, 0, 8, 0, 9, 10, 4, 15]"
2,1.0,1.0,1.0,1.0,32768,1295,0,0,0.0,1.369090114167193e-06,13713,"[(40, 'relu'), (40, 'relu'), (48, 'elu'), (64, 'elu'), (40, 'swish'), (16, 'relu'), (64, 'relu')]","[7, 7, 11, 14, 6, 1, 13, 15]"
3,1.0,1.0,1.0,1.0,32768,1295,0,0,0.0,4.323433131503407e-06,14193,"[(64, 'relu'), (40, 'swish'), (64, 'relu'), (40, 'elu'), (16, 'swish'), (48, 'elu'), (16, 'elu')]","[13, 6, 13, 8, 0, 11, 2, 15]"
4,1.0,1.0,1.0,1.0,32768,1295,0,0,0.0,1.6144982737387181e-06,14537,"[(32, 'relu'), (64, 'swish'), (48, 'elu'), (32, 'relu'), (40, 'swish'), (48, 'elu'), (48, 'relu')]","[4, 12, 11, 4, 6, 11, 10, 15]"
5,1.0,1.0,1.0,1.0,32768,1295,0,0,0.0,9.14758402359439e-06,14881,"[(64, 'swish'), (16, 'relu'), (16, 'elu'), (48, 'swish'), (48, 'swish'), (64, 'swish'), (48, 'elu')]","[12, 1, 2, 9, 9, 12, 11, 15]"
6,0.999969482421875,1.0,0.9992284178733826,0.9992284178733826,32768,1295,0,1,2.712673611111111e-05,0.0030570090748369694,16705,"[(48, 'relu'), (64, 'relu'), (64, 'relu'), (64, 'relu'), (16, 'elu'), (16, 'swish'), (48, 'swish')]","[10, 13, 13, 13, 2, 0, 9, 15]"
7,1.0,1.0,1.0,1.0,32768,1295,0,0,0.0,5.256087661109632e-06,16785,"[(64, 'swish'), (48, 'relu'), (40, 'elu'), (40, 'swish'), (16, 'elu'), (64, 'swish'), (64, 'elu')]","[12, 10, 8, 6, 2, 12, 14, 15]"
8,1.0,1.0,1.0,1.0,32768,1295,0,0,0.0,5.878263891645474e-06,7905,"[(32, 'relu'), (64, 'swish'), (16, 'relu'), (32, 'swish'), (32, 'swish'), (16, 'elu'), (32, 'swish')]","[4, 12, 1, 3, 3, 2, 3, 15]"
9,1.0,1.0,1.0,1.0,32768,1295,0,0,0.0,0.00017234987171832472,8321,"[(64, 'relu'), (64, 'elu')]","[13, 14, 15]"
