,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,0.9993805289268494,0.9686712026596069,0.927541971206665,0.9005273580551147,16777216,94088,3043,7350,6.342497033148056e-06,tensor(0.0317),64807,"[(96, 'relu'), (128, 'relu'), (96, 'swish'), (128, 'elu'), (128, 'relu')]","[13, 16, 12, 17, 16, 18]"
1,0.9994743466377258,0.9565329551696777,0.9528541564941406,0.9133080244064331,16777216,92909,4222,4597,5.548727057068023e-06,tensor(0.0266),34967,"[(96, 'swish'), (128, 'swish'), (16, 'swish'), (64, 'relu'), (128, 'swish')]","[12, 15, 0, 10, 15, 18]"
2,0.9993187785148621,0.9675180912017822,0.9190806746482849,0.8915706276893616,16777216,93976,3155,8274,6.970628981667962e-06,tensor(0.0350),36087,"[(32, 'swish'), (96, 'relu'), (128, 'relu'), (48, 'swish'), (64, 'relu'), (48, 'elu')]","[3, 13, 16, 6, 10, 8, 18]"
3,0.9993420839309692,0.9664061665534973,0.9235067963600159,0.8947820067405701,16777216,93868,3263,7775,6.742108664021175e-06,tensor(0.0333),24439,"[(128, 'relu'), (32, 'relu'), (64, 'swish'), (64, 'relu'), (16, 'elu'), (32, 'elu')]","[16, 4, 9, 10, 2, 5, 18]"
4,0.9993700385093689,0.9735820889472961,0.921973705291748,0.8994711637496948,16777216,94565,2566,8003,6.390240832055454e-06,tensor(0.0327),31447,"[(32, 'elu'), (128, 'elu'), (64, 'swish'), (128, 'relu'), (16, 'elu'), (32, 'swish')]","[5, 17, 9, 16, 2, 3, 18]"
5,0.9994756579399109,0.9539281725883484,0.955433189868927,0.9132899045944214,16777216,92656,4475,4322,5.564221741192385e-06,tensor(0.0265),26215,"[(64, 'elu'), (48, 'elu'), (64, 'swish'), (64, 'swish'), (48, 'swish'), (64, 'elu')]","[11, 8, 9, 9, 6, 11, 18]"
6,0.9993680119514465,0.9606613516807556,0.9322423338890076,0.8979626893997192,16777216,93310,3821,6782,6.598855904185183e-06,tensor(0.0323),37111,"[(32, 'elu'), (96, 'relu'), (48, 'elu'), (96, 'relu'), (128, 'elu'), (32, 'elu')]","[5, 13, 8, 13, 17, 5, 18]"
7,0.9991943836212158,0.977154552936554,0.8936342597007751,0.8753458261489868,16777216,94912,2219,11297,7.939402017675436e-06,tensor(0.0398),31575,"[(64, 'relu'), (128, 'relu'), (64, 'swish'), (48, 'swish'), (48, 'relu')]","[10, 16, 9, 6, 7, 18]"
8,0.9992489814758301,0.9573050737380981,0.9166674613952637,0.8806637525558472,16777216,92984,4147,8453,7.708068247714329e-06,tensor(0.0375),20455,"[(64, 'elu'), (96, 'relu'), (32, 'elu'), (48, 'relu')]","[11, 13, 5, 7, 18]"
9,0.9991947412490845,0.9629572629928589,0.9041809439659119,0.8737890124320984,16777216,93533,3598,9912,8.175706538454798e-06,tensor(0.0403),39671,"[(32, 'elu'), (32, 'relu'), (48, 'swish'), (128, 'relu'), (128, 'relu'), (48, 'relu')]","[5, 4, 6, 16, 16, 7, 18]"
