,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,4.758395334647503e-06,10105,"[(48, 'relu'), (16, 'swish'), (48, 'swish'), (16, 'swish'), (40, 'elu'), (48, 'swish'), (40, 'elu')]","[10, 0, 9, 0, 8, 9, 8, 15]"
1,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,3.893602752214065e-06,13609,"[(48, 'relu'), (48, 'relu'), (48, 'relu'), (16, 'swish'), (40, 'swish'), (48, 'elu'), (48, 'elu')]","[10, 10, 10, 0, 6, 11, 11, 15]"
2,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,7.12387873136322e-06,15081,"[(32, 'elu'), (64, 'relu'), (32, 'elu'), (40, 'swish'), (48, 'swish'), (48, 'elu'), (64, 'elu')]","[5, 13, 5, 6, 9, 11, 14, 15]"
3,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,4.779936261911644e-06,15137,"[(64, 'relu'), (16, 'swish'), (64, 'elu'), (48, 'elu'), (32, 'elu'), (64, 'swish'), (32, 'elu')]","[13, 0, 14, 11, 5, 12, 5, 15]"
4,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,3.359788752277382e-05,11961,"[(64, 'swish'), (32, 'relu'), (64, 'relu'), (16, 'elu'), (16, 'swish'), (40, 'elu'), (40, 'relu')]","[12, 4, 13, 2, 0, 8, 7, 15]"
5,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,2.968814442283474e-06,11241,"[(48, 'relu'), (16, 'swish'), (64, 'relu'), (32, 'swish'), (48, 'relu'), (40, 'elu'), (16, 'relu')]","[10, 0, 13, 3, 10, 8, 1, 15]"
6,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,5.407628577813739e-06,14281,"[(48, 'relu'), (40, 'swish'), (48, 'relu'), (40, 'elu'), (40, 'elu'), (64, 'relu'), (16, 'elu')]","[10, 6, 10, 8, 8, 13, 2, 15]"
7,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,1.2979568055015989e-05,11241,"[(64, 'elu'), (32, 'relu'), (16, 'swish'), (40, 'swish'), (16, 'elu'), (64, 'swish'), (32, 'swish')]","[14, 4, 0, 6, 2, 12, 3, 15]"
8,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,7.524430111516267e-05,12417,"[(40, 'swish'), (16, 'relu'), (64, 'elu'), (32, 'elu'), (64, 'elu'), (48, 'swish'), (16, 'relu')]","[6, 1, 14, 5, 14, 9, 1, 15]"
9,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,1.5445765484400908e-06,6817,"[(48, 'relu'), (16, 'elu'), (48, 'swish'), (16, 'swish'), (32, 'swish'), (16, 'relu'), (16, 'relu')]","[10, 2, 9, 0, 3, 1, 1, 15]"
