,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,sequence,architecture,reward
0,0.9989013671875,0.993519127368927,0.9833226203918457,0.9770554304122925,32768,1533,10,26,9.797870756093129e-05,0.005273822229355574,9385,"[0, 13, 8, 1, 10, 4, 9, 15]","[(16, 'swish'), (64, 'relu'), (40, 'elu'), (16, 'relu'), (48, 'relu'), (32, 'relu'), (48, 'swish')]",-0.06783695012702108
1,0.999114990234375,0.9954633712768555,0.9858793616294861,0.9814696311950684,32768,1536,7,22,0.00012553165430113385,0.003464987501502037,14217,"[13, 0, 4, 14, 10, 6, 3, 15]","[(64, 'relu'), (16, 'swish'), (32, 'relu'), (64, 'elu'), (48, 'relu'), (40, 'swish'), (32, 'swish')]",-0.296400373621503
2,0.99859619140625,0.9954633712768555,0.9752380847930908,0.9709228873252869,32768,1536,7,39,0.00011444735055396106,0.00515995267778635,13393,"[9, 4, 4, 12, 7, 7, 4, 15]","[(48, 'swish'), (32, 'relu'), (32, 'relu'), (64, 'swish'), (40, 'relu'), (40, 'relu'), (32, 'relu')]",-0.2579058681553238
3,0.9993896484375,1.0,0.9872040748596191,0.9872040748596191,32768,1543,0,20,5.998080614203455e-05,0.003470429452136159,13761,"[6, 1, 14, 1, 13, 14, 10, 15]","[(40, 'swish'), (16, 'relu'), (64, 'elu'), (16, 'relu'), (64, 'relu'), (64, 'elu'), (48, 'relu')]",-0.274535828575899
4,0.997711181640625,0.9734283685684204,0.9778645634651184,0.9524413347244263,32768,1502,41,34,0.00022077941564896576,0.006463482044637203,11817,"[3, 5, 13, 11, 8, 1, 9, 15]","[(32, 'swish'), (32, 'elu'), (64, 'relu'), (48, 'elu'), (40, 'elu'), (16, 'relu'), (48, 'swish')]",-0.18417319883378433
5,0.99273681640625,0.9325988292694092,0.914812445640564,0.8580799102783203,32768,1439,104,134,0.0006034995703789524,0.019109874963760376,11049,"[0, 6, 6, 4, 13, 6, 7, 15]","[(16, 'swish'), (40, 'swish'), (40, 'swish'), (32, 'relu'), (64, 'relu'), (40, 'swish'), (40, 'relu')]",-0.15278564938608935
6,0.999786376953125,1.0,0.9954838752746582,0.9954838752746582,32768,1543,0,7,5.040322580645161e-05,0.0011513351928442717,14281,"[10, 6, 10, 8, 8, 13, 2, 15]","[(48, 'relu'), (40, 'swish'), (48, 'relu'), (40, 'elu'), (40, 'elu'), (64, 'relu'), (16, 'elu')]",-0.2987591464595922
7,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,2.7637053790385835e-05,13609,"[10, 10, 10, 0, 6, 11, 11, 15]","[(48, 'relu'), (48, 'relu'), (48, 'relu'), (16, 'swish'), (40, 'swish'), (48, 'elu'), (48, 'elu')]",-0.26672884806590597
8,1.0,1.0,1.0,1.0,32768,1543,0,0,0.0,2.962839243991766e-05,10105,"[10, 0, 9, 0, 8, 9, 8, 15]","[(48, 'relu'), (16, 'swish'), (48, 'swish'), (16, 'swish'), (40, 'elu'), (48, 'swish'), (40, 'elu')]",-0.10082761232896167
9,0.997222900390625,0.9656513333320618,0.9751309156417847,0.942441463470459,32768,1490,53,38,0.00023638264705832452,0.006656480021774769,9873,"[14, 9, 4, 3, 15]","[(64, 'elu'), (48, 'swish'), (32, 'relu'), (32, 'swish')]",-0.09262038354479471
10,0.999969482421875,1.0,0.9993523359298706,0.9993523359298706,32768,1543,0,1,2.5299546632124353e-06,0.0004133833572268486,11961,"[12, 4, 13, 2, 0, 8, 7, 15]","[(64, 'swish'), (32, 'relu'), (64, 'relu'), (16, 'elu'), (16, 'swish'), (40, 'elu'), (40, 'relu')]",-0.18873275705542245
