,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,sequence,architecture,reward
0,0.9989452362060547,0.897884726524353,0.9072113633155823,0.8223631978034973,16777216,81923,9317,8379,1.3414591508379245e-05,tensor(0.0576),16999,"[14, 4, 0, 1, 11, 2, 18]","[(96, 'elu'), (32, 'relu'), (16, 'swish'), (16, 'relu'), (64, 'elu'), (16, 'elu')]",-0.42828737588617577
1,0.9981054067611694,0.8087900280952454,0.8372932076454163,0.6989392042160034,16777216,73794,17446,14340,3.0554900218474816e-05,tensor(0.0957),21143,"[4, 1, 17, 3, 12, 3, 18]","[(32, 'relu'), (16, 'relu'), (128, 'elu'), (32, 'swish'), (96, 'swish'), (32, 'swish')]",-0.625330036636397
2,0.9990854263305664,0.9246383309364319,0.9087814688682556,0.8461106419563293,16777216,84364,6876,8468,1.1004004915164804e-05,tensor(0.0503),38343,"[8, 14, 13, 10, 12, 4, 18]","[(48, 'elu'), (96, 'elu'), (96, 'relu'), (64, 'relu'), (96, 'swish'), (32, 'relu')]",-1.4387053979675255
3,0.9985962510108948,0.9212954640388489,0.8369992971420288,0.7811448574066162,16777216,84059,7181,16370,1.6113351060401276e-05,tensor(0.0747),23207,"[14, 10, 9, 1, 0, 5, 18]","[(96, 'elu'), (64, 'relu'), (64, 'swish'), (16, 'relu'), (16, 'swish'), (32, 'elu')]",-0.7225618380947346
4,0.9982887506484985,0.8930732011795044,0.8112865686416626,0.7394595146179199,16777216,81484,9756,18954,2.2857757858852454e-05,tensor(0.0899),22711,"[3, 1, 17, 5, 13, 7, 18]","[(32, 'swish'), (16, 'relu'), (128, 'elu'), (32, 'elu'), (96, 'relu'), (48, 'relu')]",-0.6993856018916274
5,0.9986870884895325,0.8976655006408691,0.8658463358879089,0.7880592942237854,16777216,81903,9337,12690,1.8298061048898226e-05,tensor(0.0694),17943,"[3, 12, 6, 3, 0, 18]","[(32, 'swish'), (96, 'swish'), (48, 'swish'), (32, 'swish'), (16, 'swish')]",-0.4732403770660757
6,0.9981437921524048,0.8235751986503601,0.8331817984580994,0.7069953680038452,16777216,75143,16097,15045,2.9610474826029897e-05,tensor(0.0960),47031,"[4, 14, 6, 17, 12, 17, 18]","[(32, 'relu'), (96, 'elu'), (48, 'swish'), (128, 'elu'), (96, 'swish'), (128, 'elu')]",-1.8509911919866038
7,0.9976533055305481,0.745813250541687,0.8079119324684143,0.6334819793701172,16777216,68048,23192,16179,6.409077687019188e-05,tensor(0.1202),32311,"[1, 4, 0, 17, 12, 12, 18]","[(16, 'relu'), (32, 'relu'), (16, 'swish'), (128, 'elu'), (96, 'swish'), (96, 'swish')]",-1.1545449805354526
8,0.9981080889701843,0.8652674555778503,0.8023476600646973,0.7132390141487122,16777216,78947,12293,19448,2.8138050450926908e-05,tensor(0.0978),28727,"[10, 14, 8, 14, 5, 1, 18]","[(64, 'relu'), (96, 'elu'), (48, 'elu'), (96, 'elu'), (32, 'elu'), (16, 'relu')]",-0.9844012619128231
9,0.9987820982933044,0.8946076035499573,0.8829848170280457,0.7997883558273315,16777216,81624,9616,10817,1.5576970855766482e-05,tensor(0.0639),19015,"[8, 17, 2, 3, 2, 6, 18]","[(48, 'elu'), (128, 'elu'), (16, 'elu'), (32, 'swish'), (16, 'elu'), (48, 'swish')]",-0.5239005398393597
10,0.9992727637290955,0.9468982815742493,0.9215368628501892,0.8762525916099548,16777216,86395,4845,7356,8.074400660424447e-06,tensor(0.0400),31287,"[13, 7, 13, 4, 12, 8, 18]","[(96, 'relu'), (48, 'relu'), (96, 'relu'), (32, 'relu'), (96, 'swish'), (48, 'elu')]",-1.1044429694274784
11,0.9974684119224548,0.7549430131912231,0.7739872932434082,0.6185767650604248,16777216,68881,22359,20114,5.756393924110486e-05,tensor(0.1273),14711,"[1, 14, 1, 9, 7, 18]","[(16, 'relu'), (96, 'elu'), (16, 'relu'), (64, 'swish'), (48, 'relu')]",-0.3214359960127755
12,0.9988786578178406,0.8902454972267151,0.9022604823112488,0.8119433522224426,16777216,81226,10014,8799,1.4925309545110188e-05,tensor(0.0602),33431,"[14, 0, 17, 13, 3, 14, 18]","[(96, 'elu'), (16, 'swish'), (128, 'elu'), (96, 'relu'), (32, 'swish'), (96, 'elu')]",-1.2063474204928455
13,0.9944608211517334,0.016615519300103188,0.32091447710990906,0.016051160171628,16777216,1516,89724,3208,0.013157935735781622,tensor(0.3286),6580,[18],[],0.060528715664303845
14,0.999154269695282,0.9127137064933777,0.9304476976394653,0.8544195294380188,16777216,83276,7964,6225,9.786421166068325e-06,tensor(0.0470),43095,"[17, 0, 5, 13, 16, 12, 18]","[(128, 'elu'), (16, 'swish'), (32, 'elu'), (96, 'relu'), (128, 'relu'), (96, 'swish')]",-1.6636259016981179
15,0.9991440773010254,0.9155523777008057,0.9262113571166992,0.8533121943473816,16777216,83535,7705,6655,1.003679903043141e-05,tensor(0.0467),50807,"[6, 15, 7, 13, 17, 13, 18]","[(48, 'swish'), (128, 'swish'), (48, 'relu'), (96, 'relu'), (128, 'elu'), (96, 'relu')]",-2.028770320691494
16,0.9987393617630005,0.8850504159927368,0.88336580991745,0.7924476265907288,16777216,80752,10488,10662,1.5969815310038614e-05,tensor(0.0675),23815,"[3, 11, 4, 4, 11, 15, 18]","[(32, 'swish'), (64, 'elu'), (32, 'relu'), (32, 'relu'), (64, 'elu'), (128, 'swish')]",-0.7512052431326011
17,0.9979515075683594,0.8837133049964905,0.772406816482544,0.7011426091194153,16777216,80630,10610,23758,2.512069523441661e-05,tensor(0.1059),27543,"[13, 0, 2, 17, 8, 17, 18]","[(96, 'relu'), (16, 'swish'), (16, 'elu'), (128, 'elu'), (48, 'elu'), (128, 'elu')]",-0.9284998915131235
18,0.9985563158988953,0.8606861233711243,0.8721665143966675,0.7642725110054016,16777216,78529,12711,11510,2.1569293855205336e-05,tensor(0.0772),44663,"[0, 4, 8, 16, 15, 13, 18]","[(16, 'swish'), (32, 'relu'), (48, 'elu'), (128, 'relu'), (128, 'swish'), (96, 'relu')]",-1.7384627646370643
19,0.9987673163414001,0.8930184245109558,0.8818169236183167,0.7975626587867737,16777216,81479,9761,10920,1.6389095665743707e-05,tensor(0.0663),16855,"[6, 8, 10, 4, 2, 18]","[(48, 'swish'), (48, 'elu'), (64, 'relu'), (32, 'relu'), (16, 'elu')]",-0.4216474367479422
20,0.9989394545555115,0.903529167175293,0.9016613960266113,0.8224800825119019,16777216,82438,8802,8991,1.2497045543719194e-05,tensor(0.0581),14471,"[8, 3, 3, 1, 0, 17, 18]","[(48, 'elu'), (32, 'swish'), (32, 'swish'), (16, 'relu'), (16, 'swish'), (128, 'elu')]",-0.308601855041572
21,0.9980821013450623,0.8350394368171692,0.8164710998535156,0.7030710577964783,16777216,76189,15051,17126,3.545490484705484e-05,tensor(0.0987),12247,"[11, 2, 12, 18]","[(64, 'elu'), (16, 'elu'), (96, 'swish')]",-0.2041611636518602
22,0.9987851977348328,0.9270604848861694,0.8603818416595459,0.8058323860168457,16777216,84585,6655,13726,1.3767219110785307e-05,tensor(0.0662),13815,"[8, 5, 4, 4, 1, 7, 18]","[(48, 'elu'), (32, 'elu'), (32, 'relu'), (32, 'relu'), (16, 'relu'), (48, 'relu')]",-0.27769697640464924
23,0.9988964200019836,0.9009644985198975,0.8966111540794373,0.8161717057228088,16777216,82204,9036,9479,1.3255466119598339e-05,tensor(0.0602),37975,"[12, 0, 13, 15, 10, 7, 18]","[(96, 'swish'), (16, 'swish'), (96, 'relu'), (128, 'swish'), (64, 'relu'), (48, 'relu')]",-1.4214709868442832
24,0.9987174272537231,0.8734655976295471,0.8887786269187927,0.7873988747596741,16777216,79695,11545,9973,1.8571000071120426e-05,tensor(0.0683),18391,"[5, 2, 15, 0, 8, 13, 18]","[(32, 'elu'), (16, 'elu'), (128, 'swish'), (16, 'swish'), (48, 'elu'), (96, 'relu')]",-0.49442115519975915
25,0.9991089105606079,0.9219750165939331,0.9148359894752502,0.8490981459617615,16777216,84121,7119,7831,1.0239250068071263e-05,tensor(0.0492),31735,"[12, 15, 1, 10, 11, 2, 18]","[(96, 'swish'), (128, 'swish'), (16, 'relu'), (64, 'relu'), (64, 'elu'), (16, 'elu')]",-1.1258179394938403
26,0.996121883392334,0.5026633143424988,0.6996643543243408,0.4134520888328552,16777216,45863,45377,19687,0.00024436747546270913,tensor(0.1885),8039,"[3, 18]","[(32, 'swish')]",-0.006888390742413406
