,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,1.0,1.0,1.0,1.0,32768,1176,0,0,0.0,4.788398200616939e-06,7241,"[(40, 'relu'), (40, 'swish'), (48, 'elu'), (16, 'relu'), (16, 'swish')]","[7, 6, 11, 1, 0, 15]"
1,1.0,1.0,1.0,1.0,32768,1176,0,0,0.0,2.2070571503718384e-06,11441,"[(32, 'relu'), (16, 'relu'), (16, 'elu'), (40, 'elu'), (64, 'elu'), (40, 'elu'), (64, 'relu')]","[4, 1, 2, 8, 14, 8, 13, 15]"
2,1.0,1.0,1.0,1.0,32768,1176,0,0,0.0,2.7399098598834826e-06,11777,"[(48, 'relu'), (48, 'swish'), (32, 'elu'), (48, 'elu'), (64, 'relu')]","[10, 9, 5, 11, 13, 15]"
3,0.999969482421875,0.9991496801376343,1.0,0.9991496801376343,32768,1175,1,0,3.321641156462585e-06,0.00021138146985322237,12881,"[(32, 'relu'), (48, 'swish'), (48, 'relu'), (64, 'swish'), (32, 'relu'), (16, 'swish'), (64, 'swish')]","[4, 9, 10, 12, 4, 0, 12, 15]"
4,1.0,1.0,1.0,1.0,32768,1176,0,0,0.0,6.654159733443521e-06,13569,"[(40, 'relu'), (64, 'elu'), (64, 'relu'), (64, 'swish')]","[7, 14, 13, 12, 15]"
5,1.0,1.0,1.0,1.0,32768,1176,0,0,0.0,1.5217229929476161e-06,14393,"[(64, 'relu'), (32, 'relu'), (48, 'relu'), (32, 'elu'), (32, 'swish'), (40, 'swish'), (64, 'relu')]","[13, 4, 10, 5, 3, 6, 13, 15]"
6,1.0,1.0,1.0,1.0,32768,1176,0,0,0.0,1.6132281643876922e-06,15105,"[(64, 'relu'), (64, 'elu'), (32, 'swish'), (40, 'relu'), (40, 'elu'), (16, 'swish'), (64, 'swish')]","[13, 14, 3, 7, 8, 0, 12, 15]"
7,1.0,1.0,1.0,1.0,32768,1176,0,0,0.0,4.409340363054071e-06,19825,"[(64, 'elu'), (48, 'relu'), (64, 'relu'), (32, 'relu'), (32, 'relu'), (64, 'relu'), (64, 'swish')]","[14, 10, 13, 4, 4, 13, 12, 15]"
8,1.0,1.0,1.0,1.0,32768,1176,0,0,0.0,2.5248649762943387e-05,9601,"[(32, 'relu'), (16, 'swish'), (48, 'elu'), (32, 'relu'), (40, 'elu'), (40, 'elu'), (40, 'relu')]","[4, 0, 11, 4, 8, 8, 7, 15]"
9,1.0,1.0,1.0,1.0,32768,1176,0,0,0.0,2.056353878288064e-06,13601,"[(40, 'relu'), (32, 'relu'), (48, 'relu'), (48, 'relu'), (32, 'elu'), (64, 'swish'), (32, 'swish')]","[7, 4, 10, 10, 5, 12, 3, 15]"
