,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,sequence,architecture,reward
0,0.9966546893119812,0.7879124283790588,0.841826319694519,0.6863088011741638,16777216,122793,33053,23072,3.880235819888064e-05,tensor(0.1006),13223,"[0, 4, 3, 16, 18]","[(16, 'swish'), (32, 'relu'), (32, 'swish'), (128, 'relu')]",-0.25179850892673855
1,0.9984012246131897,0.9282753467559814,0.9024096727371216,0.8435894846916199,16777216,144668,11178,15645,1.0996174865894955e-05,tensor(0.0496),27319,"[10, 0, 10, 16, 3, 13, 18]","[(64, 'relu'), (16, 'swish'), (64, 'relu'), (128, 'relu'), (32, 'swish'), (96, 'relu')]",-0.9174446160193561
2,0.9985984563827515,0.9316889643669128,0.9185919761657715,0.860628068447113,16777216,145200,10646,12868,9.249041724928724e-06,tensor(0.0447),36935,"[14, 10, 12, 10, 11, 6, 18]","[(96, 'elu'), (64, 'relu'), (96, 'swish'), (64, 'relu'), (64, 'elu'), (48, 'swish')]",-1.3725288576648789
3,0.9974693059921265,0.8607086539268494,0.8660322427749634,0.7595755457878113,16777216,134138,21708,20750,2.138472999992593e-05,tensor(0.0780),18791,"[0, 17, 7, 6, 1, 18]","[(16, 'swish'), (128, 'elu'), (48, 'relu'), (48, 'swish'), (16, 'relu')]",-0.5146077736916006
4,0.9974237680435181,0.8653734922409058,0.858433187007904,0.7572984099388123,16777216,134865,20981,22241,2.6105679655566563e-05,tensor(0.0795),28135,"[1, 14, 17, 5, 5, 6, 18]","[(16, 'relu'), (96, 'elu'), (128, 'elu'), (32, 'elu'), (32, 'elu'), (48, 'swish')]",-0.9570566069387271
5,0.9906215071678162,0.0034264593850821257,0.20802493393421173,0.0033823370467871428,16777216,534,155312,2033,0.0480126940253777,tensor(0.3446),6580,[18],[],0.05668940168038661
6,0.9972673654556274,0.8491844534873962,0.8555635809898376,0.7427099347114563,16777216,132342,23504,22342,2.555444981233121e-05,tensor(0.0842),11591,"[9, 4, 18]","[(64, 'swish'), (32, 'relu')]",-0.1739167640836936
7,0.9986733198165894,0.925830602645874,0.9309679865837097,0.8663544654846191,16777216,144287,11559,10699,9.109056712912406e-06,tensor(0.0418),30407,"[6, 17, 6, 15, 2, 8, 18]","[(48, 'swish'), (128, 'elu'), (48, 'swish'), (128, 'swish'), (16, 'elu'), (48, 'elu')]",-1.0633777194334462
8,0.9948627352714539,0.6592726111412048,0.7564067840576172,0.5438142418861389,16777216,102745,53101,33088,0.00013720790422518326,tensor(0.1467),11047,"[14, 18]","[(96, 'elu')]",-0.15056503803473428
9,0.9981114864349365,0.9114959836006165,0.8881421089172363,0.8176323771476746,16777216,142053,13793,17891,1.3855732471429784e-05,tensor(0.0589),21543,"[10, 5, 4, 5, 14, 7, 18]","[(64, 'relu'), (32, 'elu'), (32, 'relu'), (32, 'elu'), (96, 'elu'), (48, 'relu')]",-0.6442624541928746
10,0.9983248114585876,0.90733802318573,0.9118843674659729,0.8341985940933228,16777216,141405,14441,13664,1.2235572641591921e-05,tensor(0.0526),29399,"[3, 14, 15, 5, 2, 11, 18]","[(32, 'swish'), (96, 'elu'), (128, 'swish'), (32, 'elu'), (16, 'elu'), (64, 'elu')]",-1.016001214771231
11,0.9973203539848328,0.814855694770813,0.8874663710594177,0.7385445833206177,16777216,126992,28854,16103,3.6382570407702996e-05,tensor(0.0803),11399,"[8, 3, 5, 18]","[(48, 'elu'), (32, 'swish'), (32, 'elu')]",-0.16477329688397077
12,0.9971513152122498,0.8449238538742065,0.8478780388832092,0.733700692653656,16777216,131678,24168,23625,2.9915763382431016e-05,tensor(0.0863),27175,"[1, 10, 9, 9, 9, 13, 18]","[(16, 'relu'), (64, 'relu'), (64, 'swish'), (64, 'swish'), (64, 'swish'), (96, 'relu')]",-0.9118766664174079
13,0.9978688359260559,0.9051563739776611,0.8705620169639587,0.7977887392044067,16777216,141065,14781,20974,1.4525681876479341e-05,tensor(0.0667),24231,"[13, 8, 17, 0, 2, 18]","[(96, 'relu'), (48, 'elu'), (128, 'elu'), (16, 'swish'), (16, 'elu')]",-0.7717718060890002
14,0.9988210797309875,0.9398573040962219,0.9336686134338379,0.8810300230979919,16777216,146473,9373,10406,7.776420628379697e-06,tensor(0.0376),46727,"[16, 7, 16, 13, 6, 14, 18]","[(128, 'relu'), (48, 'relu'), (128, 'relu'), (96, 'relu'), (48, 'swish'), (96, 'elu')]",-1.8359206465130349
15,0.9981439709663391,0.8595985770225525,0.935359537601471,0.8113976716995239,16777216,133965,21881,9258,1.4627081036558195e-05,tensor(0.0583),44871,"[10, 9, 4, 16, 13, 17, 18]","[(64, 'relu'), (64, 'swish'), (32, 'relu'), (128, 'relu'), (96, 'relu'), (128, 'elu')]",-1.7487231281293476
16,0.9979647397994995,0.9116050601005554,0.8745998740196228,0.8062264323234558,16777216,142070,13776,20370,1.5196331069327579e-05,tensor(0.0626),40199,"[13, 17, 2, 15, 8, 16, 18]","[(96, 'relu'), (128, 'elu'), (16, 'elu'), (128, 'swish'), (48, 'elu'), (128, 'relu')]",-1.5277007116469281
17,0.9979090690612793,0.8954352140426636,0.8813647031784058,0.799118161201477,16777216,139550,16296,18784,1.6489499058022068e-05,tensor(0.0635),16407,"[6, 5, 0, 6, 6, 6, 18]","[(48, 'swish'), (32, 'elu'), (16, 'swish'), (48, 'swish'), (48, 'swish'), (48, 'swish')]",-0.4012945671301889
18,0.9983693957328796,0.9278326034545898,0.8997567296028137,0.8409069776535034,16777216,144599,11247,16110,1.147292040251015e-05,tensor(0.0511),22759,"[14, 6, 0, 7, 6, 10, 18]","[(96, 'elu'), (48, 'swish'), (16, 'swish'), (48, 'relu'), (48, 'swish'), (64, 'relu')]",-0.7015775764748756
