,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,sequence,architecture,reward
0,0.990203857421875,0.9323990345001221,0.9350971579551697,0.8757259249687195,32768,2262,164,157,0.0005466552353551014,0.027509672567248344,21377,"[14, 9, 12, 13, 11, 5, 12, 15]","[(64, 'elu'), (48, 'swish'), (64, 'swish'), (64, 'relu'), (48, 'elu'), (32, 'elu'), (64, 'swish')]",-0.6443106068553845
1,0.99578857421875,0.9736191034317017,0.9696223139762878,0.9448000192642212,32768,2362,64,74,0.00023133436079039743,0.011302442289888859,11497,"[8, 7, 1, 2, 9, 9, 14, 15]","[(40, 'elu'), (40, 'relu'), (16, 'relu'), (16, 'elu'), (48, 'swish'), (48, 'swish'), (64, 'elu')]",-0.17094500847146352
2,0.98016357421875,0.8849958777427673,0.8526608347892761,0.7676081657409668,32768,2147,279,371,0.0011724489794665547,0.050243645906448364,9017,"[5, 5, 9, 0, 4, 6, 7, 15]","[(32, 'elu'), (32, 'elu'), (48, 'swish'), (16, 'swish'), (32, 'relu'), (40, 'swish'), (40, 'relu')]",-0.06915132564394588
3,0.992401123046875,0.9909315705299377,0.9137210249900818,0.9061439633369446,32768,2404,22,227,0.0005253750760245572,0.016048787161707878,12521,"[13, 8, 3, 9, 1, 14, 1, 15]","[(64, 'relu'), (40, 'elu'), (32, 'swish'), (48, 'swish'), (16, 'relu'), (64, 'elu'), (16, 'relu')]",-0.22281501255276515
4,0.9949951171875,0.9571310877799988,0.9748110771179199,0.9340305924415588,32768,2322,104,60,0.00026749082887041653,0.014136523008346558,14433,"[0, 13, 4, 10, 11, 12, 11, 15]","[(16, 'swish'), (64, 'relu'), (32, 'relu'), (48, 'relu'), (48, 'elu'), (64, 'swish'), (48, 'elu')]",-0.3107470351727102
5,0.9652099609375,0.795136034488678,0.75,0.628543496131897,32768,1929,497,643,0.003501398490978372,0.0749940350651741,7521,"[3, 3, 2, 5, 0, 10, 7, 15]","[(32, 'swish'), (32, 'swish'), (16, 'elu'), (32, 'elu'), (16, 'swish'), (48, 'relu'), (40, 'relu')]",-0.0132749592840804
6,0.99700927734375,0.9736191034317017,0.9858096837997437,0.9601625800132751,32768,2362,64,34,0.00015848121508504833,0.008827767334878445,19329,"[8, 8, 7, 10, 12, 12, 14, 15]","[(40, 'elu'), (40, 'elu'), (40, 'relu'), (48, 'relu'), (64, 'swish'), (64, 'swish'), (64, 'elu')]",-0.5405400811146563
7,0.973724365234375,0.8322341442108154,0.8164173364639282,0.7010416388511658,32768,2019,407,454,0.0030921291508472872,0.05640394240617752,8153,"[6, 0, 5, 10, 0, 8, 5, 15]","[(40, 'swish'), (16, 'swish'), (32, 'elu'), (48, 'relu'), (16, 'swish'), (40, 'elu'), (32, 'elu')]",-0.03468338061099215
8,0.985687255859375,0.8775762319564819,0.9252498745918274,0.8194765448570251,32768,2129,297,172,0.0011104721037808215,0.040885668247938156,16025,"[14, 12, 6, 11, 0, 10, 4, 15]","[(64, 'elu'), (64, 'swish'), (40, 'swish'), (48, 'elu'), (16, 'swish'), (48, 'relu'), (32, 'relu')]",-0.3954301154772094
9,0.98126220703125,0.9241549968719482,0.8390718698501587,0.7850140333175659,32768,2242,184,430,0.001410252551111709,0.04699486121535301,5329,"[1, 0, 12, 0, 2, 4, 4, 15]","[(16, 'relu'), (16, 'swish'), (64, 'swish'), (16, 'swish'), (16, 'elu'), (32, 'relu'), (32, 'relu')]",0.106560251631411
10,0.978179931640625,0.8985984921455383,0.8229520320892334,0.7530224323272705,32768,2180,246,469,0.0026289512287375628,0.05395285040140152,12689,"[9, 11, 9, 3, 2, 10, 8, 15]","[(48, 'swish'), (48, 'elu'), (48, 'swish'), (32, 'swish'), (16, 'elu'), (48, 'relu'), (40, 'elu')]",-0.24499037279571795
11,0.98272705078125,0.9018961191177368,0.8696343302726746,0.7944807410240173,32768,2188,238,328,0.0010493832362410663,0.047913819551467896,11225,"[3, 9, 11, 0, 11, 7, 6, 15]","[(32, 'swish'), (48, 'swish'), (48, 'elu'), (16, 'swish'), (48, 'elu'), (40, 'relu'), (40, 'swish')]",-0.17112835379239708
12,0.945526123046875,0.45589447021484375,0.7040101885795593,0.38256657123565674,32768,1106,1320,465,0.007304053049514515,0.1258900910615921,2601,"[8, 15]","[(40, 'elu')]",0.1999847187573054
13,0.998321533203125,0.985160768032074,0.992112934589386,0.977505087852478,32768,2390,36,19,9.850387364708531e-05,0.006217669695615768,11457,"[14, 10, 5, 3, 0, 4, 1, 15]","[(64, 'elu'), (48, 'relu'), (32, 'elu'), (32, 'swish'), (16, 'swish'), (32, 'relu'), (16, 'relu')]",-0.16651819976406404
14,0.99151611328125,0.9954658150672913,0.900447428226471,0.8967694044113159,32768,2415,11,267,0.0006163205491035778,0.02375628612935543,10145,"[1, 10, 2, 11, 9, 11, 8, 15]","[(16, 'relu'), (48, 'relu'), (16, 'elu'), (48, 'elu'), (48, 'swish'), (48, 'elu'), (40, 'elu')]",-0.11120534877073615
15,1.0,1.0,1.0,1.0,32768,2426,0,0,0.0,2.8776245017070323e-05,16881,"[13, 7, 9, 14, 5, 8, 6, 15]","[(64, 'relu'), (40, 'relu'), (48, 'swish'), (64, 'elu'), (32, 'elu'), (40, 'elu'), (40, 'swish')]",-0.42164575540930826
16,0.9720458984375,0.8355317115783691,0.7967767119407654,0.6887529492378235,32768,2027,399,517,0.0039225199655883326,0.06585250794887543,9169,"[3, 0, 0, 14, 10, 4, 0, 15]","[(32, 'swish'), (16, 'swish'), (16, 'swish'), (64, 'elu'), (48, 'relu'), (32, 'relu'), (16, 'swish')]",-0.0844656303726889
17,0.99639892578125,0.9868095517158508,0.9653225541114807,0.9530254602432251,32768,2394,32,86,0.00019643441846395234,0.012309683486819267,15441,"[4, 4, 6, 14, 7, 14, 9, 15]","[(32, 'relu'), (32, 'relu'), (40, 'swish'), (64, 'elu'), (40, 'relu'), (64, 'elu'), (48, 'swish')]",-0.35706823959917705
18,0.99114990234375,0.9389942288398743,0.9413223266601562,0.8870716691017151,32768,2278,148,142,0.0006386137096059902,0.028018133714795113,6721,"[12, 4, 2, 15]","[(64, 'swish'), (32, 'relu'), (16, 'elu')]",0.05054197658265916
19,0.987213134765625,0.9377576112747192,0.8946126699447632,0.8444691896438599,32768,2275,151,268,0.0008529578097206206,0.03400803357362747,9849,"[1, 6, 14, 11, 9, 15]","[(16, 'relu'), (40, 'swish'), (64, 'elu'), (48, 'elu'), (48, 'swish')]",-0.10149383933598002
20,0.9986572265625,0.9884583950042725,0.9933720231056213,0.9819819927215576,32768,2398,28,16,7.097513918192243e-05,0.005399276502430439,10641,"[11, 7, 8, 10, 6, 15]","[(48, 'elu'), (40, 'relu'), (40, 'elu'), (48, 'relu'), (40, 'swish')]",-0.1275479720549897
21,1.0,1.0,1.0,1.0,32768,2426,0,0,0.0,2.244550887553487e-05,17889,"[12, 13, 8, 14, 0, 6, 12, 15]","[(64, 'swish'), (64, 'relu'), (40, 'elu'), (64, 'elu'), (16, 'swish'), (40, 'swish'), (64, 'swish')]",-0.4693707684295251
22,0.990875244140625,0.9929925799369812,0.8952062726020813,0.8895863890647888,32768,2409,17,282,0.0004628521085904191,0.029324710369110107,8977,"[3, 10, 2, 14, 5, 1, 10, 15]","[(32, 'swish'), (48, 'relu'), (16, 'elu'), (64, 'elu'), (32, 'elu'), (16, 'relu'), (48, 'relu')]",-0.056545805999046406
23,0.991302490234375,0.9765045046806335,0.9122064113616943,0.8926149010658264,32768,2369,57,228,0.0005024092171400129,0.024586522951722145,9041,"[7, 2, 14, 4, 5, 4, 2, 15]","[(40, 'relu'), (16, 'elu'), (64, 'elu'), (32, 'relu'), (32, 'elu'), (32, 'relu'), (16, 'elu')]",-0.05914871946213557
24,0.999847412109375,0.998763382434845,0.9991752505302429,0.997940719127655,32768,2423,3,2,8.052131759886454e-06,0.0011159343412145972,19249,"[12, 13, 13, 12, 2, 5, 3, 15]","[(64, 'swish'), (64, 'relu'), (64, 'relu'), (64, 'swish'), (16, 'elu'), (32, 'elu'), (32, 'swish')]",-0.5339142469029824
25,0.969146728515625,0.8079142570495605,0.7824351191520691,0.6597105264663696,32768,1960,466,545,0.0033505999131168826,0.06950602680444717,8345,"[5, 0, 0, 12, 8, 1, 12, 15]","[(32, 'elu'), (16, 'swish'), (16, 'swish'), (64, 'swish'), (40, 'elu'), (16, 'relu'), (64, 'swish')]",-0.04835149600025965
26,0.99737548828125,0.9744435548782349,0.9899497628211975,0.9648979306221008,32768,2364,62,24,0.00014890345948621924,0.012428892776370049,9305,"[4, 8, 2, 11, 10, 5, 0, 15]","[(32, 'relu'), (40, 'elu'), (16, 'elu'), (48, 'elu'), (48, 'relu'), (32, 'elu'), (16, 'swish')]",-0.06557512958722211
27,0.998992919921875,0.9971145987510681,0.9893660545349121,0.9865415692329407,32768,2419,7,26,5.9200573161911605e-05,0.007818547077476978,6889,"[7, 6, 13, 15]","[(40, 'relu'), (40, 'swish'), (64, 'relu')]",0.05043082532408135
28,0.945404052734375,0.45960429310798645,0.6999372243881226,0.38395315408706665,32768,1115,1311,478,0.0062171581786996805,0.12728312611579895,2601,"[8, 15]","[(40, 'elu')]",0.1998626484448054
29,0.923919677734375,0.020197857171297073,0.2969697117805481,0.01927616074681282,32768,49,2377,116,0.1095544402183417,0.27088597416877747,64,[15],[],0.29849569212763294
