,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,sequence,architecture,reward
0,0.9995335340499878,0.8776064515113831,0.9107365012168884,0.8080968856811523,16777216,32955,4596,3230,1.3362961205765317e-05,tensor(0.0609),37703,"[13, 12, 6, 6, 15, 5, 18]","[(96, 'relu'), (96, 'swish'), (48, 'swish'), (48, 'swish'), (128, 'swish'), (32, 'elu')]",-1.4079556946797125
1,0.9995068907737732,0.8878858089447021,0.8913752436637878,0.8011966943740845,16777216,33341,4210,4063,1.4522517556623407e-05,tensor(0.0615),36471,"[17, 0, 11, 12, 9, 16, 18]","[(128, 'elu'), (16, 'swish'), (64, 'elu'), (96, 'swish'), (64, 'swish'), (128, 'relu')]",-1.349651766486773
2,0.9995219111442566,0.9028787612915039,0.8857306838035583,0.8086821436882019,16777216,33904,3647,4374,1.354543680767863e-05,tensor(0.0588),40439,"[15, 12, 0, 12, 14, 5, 18]","[(128, 'swish'), (96, 'swish'), (16, 'swish'), (96, 'swish'), (96, 'elu'), (32, 'elu')]",-1.537506638640318
3,0.9996933937072754,0.9600010514259338,0.9082411527633667,0.8751243948936462,16777216,36049,1502,3642,8.064922560153566e-06,tensor(0.0407),26247,"[16, 8, 2, 16, 5, 0, 18]","[(128, 'relu'), (48, 'elu'), (16, 'elu'), (128, 'relu'), (32, 'elu'), (16, 'swish')]",-0.8653972743482143
4,0.9980197548866272,0.2525631785392761,0.6478142142295837,0.2220713198184967,16777216,9484,28067,5156,0.000491298865886358,tensor(0.2129),8791,"[8, 18]","[(48, 'elu')]",-0.04059489404098038
5,0.9995828866958618,0.9496151804924011,0.8747454881668091,0.8359472155570984,16777216,35659,1892,5106,1.0921653897815575e-05,tensor(0.0538),35383,"[14, 17, 0, 13, 11, 4, 18]","[(96, 'elu'), (128, 'elu'), (16, 'swish'), (96, 'relu'), (64, 'elu'), (32, 'relu')]",-1.2980630580984187
6,0.9996157288551331,0.9320923686027527,0.8998149037361145,0.8444557189941406,16777216,35001,2550,3897,1.0366385759774517e-05,tensor(0.0513),24471,"[16, 5, 5, 2, 17, 4, 18]","[(128, 'relu'), (32, 'elu'), (32, 'elu'), (16, 'elu'), (128, 'elu'), (32, 'relu')]",-0.7813880114980699
7,0.9996431469917297,0.9147026538848877,0.9250242114067078,0.8515681028366089,16777216,34348,3203,2784,9.86056882770653e-06,tensor(0.0476),27271,"[9, 5, 13, 16, 18]","[(64, 'swish'), (32, 'elu'), (96, 'relu'), (128, 'relu')]",-0.9139300739731867
8,0.9996371865272522,0.9244760274887085,0.9143707752227783,0.8508161306381226,16777216,34715,2836,3251,9.99163997192926e-06,tensor(0.0476),25607,"[12, 7, 3, 11, 7, 11, 18]","[(96, 'swish'), (48, 'relu'), (32, 'swish'), (64, 'elu'), (48, 'relu'), (64, 'elu')]",-0.8351518859598459
9,0.9993913769721985,0.8467417359352112,0.8770826458930969,0.7569214701652527,16777216,31796,5755,4456,2.0379022191491685e-05,tensor(0.0768),20295,"[4, 6, 8, 11, 10, 0, 18]","[(32, 'relu'), (48, 'swish'), (48, 'elu'), (64, 'elu'), (64, 'relu'), (16, 'swish')]",-0.583894452297249
10,0.9991909861564636,0.8357700109481812,0.8090745210647583,0.6980893015861511,16777216,31384,6167,7406,2.7971012577702267e-05,tensor(0.1014),16311,"[1, 5, 5, 3, 6, 13, 18]","[(16, 'relu'), (32, 'elu'), (32, 'elu'), (32, 'swish'), (48, 'swish'), (96, 'relu')]",-0.39546741069974584
