,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,1.1432299515945488e-06,5809,"[(40, 'relu'), (16, 'elu'), (48, 'relu'), (16, 'relu'), (16, 'relu'), (40, 'swish')]","[7, 2, 10, 1, 1, 6, 15]"
1,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,1.7230180446858867e-06,6929,"[(16, 'elu'), (40, 'relu'), (40, 'elu'), (16, 'relu'), (32, 'relu'), (48, 'elu'), (16, 'relu')]","[2, 7, 8, 1, 4, 11, 1, 15]"
2,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,4.120383891859092e-06,7473,"[(40, 'relu'), (16, 'elu'), (64, 'elu'), (48, 'elu')]","[7, 2, 14, 11, 15]"
3,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,6.48392870061798e-06,8225,"[(40, 'swish'), (40, 'swish'), (16, 'swish'), (40, 'swish'), (64, 'relu')]","[6, 6, 0, 6, 13, 15]"
4,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,8.021401072255685e-07,8913,"[(48, 'relu'), (32, 'swish'), (48, 'elu'), (16, 'swish'), (32, 'swish'), (40, 'relu')]","[10, 3, 11, 0, 3, 7, 15]"
5,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,4.817077751795296e-06,9217,"[(64, 'relu'), (48, 'swish'), (40, 'swish')]","[13, 9, 6, 15]"
6,0.999969482421875,1.0,0.9983108043670654,0.9983108043670654,32768,591,0,1,6.598395270270271e-06,0.0001433173893019557,9361,"[(16, 'relu'), (32, 'elu'), (48, 'swish'), (32, 'elu'), (32, 'relu'), (48, 'swish'), (40, 'relu')]","[1, 5, 9, 5, 4, 9, 7, 15]"
7,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,4.735021775559289e-06,10473,"[(40, 'elu'), (64, 'relu'), (40, 'swish'), (64, 'elu')]","[8, 13, 6, 14, 15]"
8,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,1.6927257320276112e-06,10737,"[(40, 'elu'), (16, 'relu'), (16, 'elu'), (40, 'relu'), (64, 'elu'), (40, 'swish'), (32, 'swish')]","[8, 1, 2, 7, 14, 6, 3, 15]"
9,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,7.896416718722321e-06,11841,"[(64, 'swish'), (32, 'swish'), (40, 'swish'), (40, 'relu'), (32, 'elu'), (16, 'swish'), (48, 'swish')]","[12, 3, 6, 7, 5, 0, 9, 15]"
