,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,sequence,architecture,reward
0,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,3.889147046720609e-05,18009,"[8, 12, 13, 6, 12, 5, 6, 15]","[(40, 'elu'), (64, 'swish'), (64, 'relu'), (40, 'swish'), (64, 'swish'), (32, 'elu'), (40, 'swish')]",-0.4750523175985985
1,0.999969482421875,1.0,0.9983108043670654,0.9983108043670654,32768,591,0,1,6.598395270270271e-06,0.00020697497529909015,11265,"[8, 14, 4, 8, 0, 8, 4, 15]","[(40, 'elu'), (64, 'elu'), (32, 'relu'), (40, 'elu'), (16, 'swish'), (40, 'elu'), (32, 'relu')]",-0.15577977187479655
2,0.999603271484375,1.0,0.9784768223762512,0.9784768223762512,32768,591,0,13,0.00010347682119205298,0.0014544959412887692,10329,"[0, 12, 6, 4, 8, 8, 5, 15]","[(16, 'swish'), (64, 'swish'), (40, 'swish'), (32, 'relu'), (40, 'elu'), (40, 'elu'), (32, 'elu')]",-0.11182989929352374
3,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,2.504953954485245e-05,10473,"[8, 13, 6, 14, 15]","[(40, 'elu'), (64, 'relu'), (40, 'swish'), (64, 'elu')]",-0.11825102978078689
4,0.982177734375,0.15736040472984314,0.5195530652999878,0.1373707503080368,32768,93,498,86,0.03595870228709979,0.15521346032619476,64,[15],[],0.35675374876825794
5,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,1.248567741640727e-06,15153,"[14, 13, 13, 2, 1, 0, 13, 15]","[(64, 'elu'), (64, 'relu'), (64, 'relu'), (16, 'elu'), (16, 'relu'), (16, 'swish'), (64, 'relu')]",-0.3398314473746508
6,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,9.274065178033197e-07,15145,"[13, 10, 7, 11, 1, 10, 9, 15]","[(64, 'relu'), (48, 'relu'), (40, 'relu'), (48, 'elu'), (16, 'relu'), (48, 'relu'), (48, 'swish')]",-0.3394526774300459
7,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,3.094416570093017e-06,16065,"[14, 10, 6, 7, 13, 4, 2, 15]","[(64, 'elu'), (48, 'relu'), (40, 'swish'), (40, 'relu'), (64, 'relu'), (32, 'relu'), (16, 'elu')]",-0.3830112210596089
8,0.999786376953125,0.9949238300323486,0.9932432174682617,0.9882352948188782,32768,588,3,4,4.6222261284126766e-05,0.0006425274186767638,5313,"[2, 8, 1, 10, 0, 8, 0, 15]","[(16, 'elu'), (40, 'elu'), (16, 'relu'), (48, 'relu'), (16, 'swish'), (40, 'elu'), (16, 'swish')]",0.1258419614424958
9,1.0,1.0,1.0,1.0,32768,591,0,0,0.0,5.182245513424277e-05,20033,"[14, 9, 11, 14, 13, 5, 4, 15]","[(64, 'elu'), (48, 'swish'), (48, 'elu'), (64, 'elu'), (64, 'relu'), (32, 'elu'), (32, 'relu')]",-0.5708811135836371
