,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,0.999763548374176,0.9316492676734924,0.9739125967025757,0.9089657664299011,16777216,39610,2906,1061,5.943493182222688e-06,tensor(0.0302),42103,"[(96, 'swish'), (128, 'relu'), (64, 'swish'), (48, 'relu'), (64, 'relu'), (64, 'swish')]","[12, 16, 9, 7, 10, 9, 18]"
1,0.9995721578598022,0.9880045056343079,0.8630069494247437,0.8540582060813904,16777216,42006,510,6668,9.158744632756852e-06,tensor(0.0538),24247,"[(96, 'relu'), (32, 'relu'), (64, 'relu'), (96, 'relu'), (16, 'elu'), (16, 'swish')]","[13, 4, 10, 13, 2, 0, 18]"
2,0.9998006224632263,0.9733276963233948,0.949280858039856,0.9252129793167114,16777216,41382,1134,2211,4.780952383303755e-06,tensor(0.0260),57607,"[(96, 'swish'), (64, 'swish'), (96, 'relu'), (128, 'relu'), (96, 'relu'), (96, 'swish')]","[12, 9, 13, 16, 13, 12, 18]"
3,0.9996607303619385,0.9520415663719177,0.9172218441963196,0.8767138123512268,16777216,40477,2039,3653,8.089279203105441e-06,tensor(0.0425),47735,"[(128, 'relu'), (128, 'elu'), (16, 'swish'), (64, 'relu'), (96, 'swish'), (96, 'elu')]","[16, 17, 0, 10, 12, 14, 18]"
4,0.9997063875198364,0.9661068916320801,0.9217908382415771,0.8929153680801392,16777216,41075,1441,3485,6.856272505594591e-06,tensor(0.0360),39543,"[(96, 'swish'), (48, 'swish'), (128, 'relu'), (96, 'elu'), (32, 'swish'), (64, 'swish')]","[12, 6, 16, 14, 3, 9, 18]"
5,0.9997796416282654,0.9553815126419067,0.9575662016868591,0.9165763854980469,16777216,40619,1897,1800,5.326191364912917e-06,tensor(0.0279),37335,"[(128, 'swish'), (96, 'elu'), (48, 'swish'), (32, 'relu'), (128, 'relu'), (16, 'swish')]","[15, 14, 6, 4, 16, 0, 18]"
6,0.9996615052223206,0.9523943662643433,0.9172084331512451,0.8770006895065308,16777216,40492,2024,3655,8.240402440400045e-06,tensor(0.0411),26279,"[(64, 'elu'), (48, 'swish'), (96, 'relu'), (16, 'swish'), (64, 'relu'), (96, 'swish')]","[11, 6, 13, 0, 10, 12, 18]"
7,0.9996170997619629,0.9440445899963379,0.9084469079971313,0.8620304465293884,16777216,40137,2379,4045,9.229624946238257e-06,tensor(0.0462),27719,"[(64, 'swish'), (64, 'relu'), (48, 'elu'), (96, 'swish'), (48, 'relu'), (32, 'relu')]","[9, 10, 8, 12, 7, 4, 18]"
8,0.999656617641449,0.9249458909034729,0.9386561512947083,0.8722219467163086,16777216,39325,3191,2570,8.415893778496253e-06,tensor(0.0430),42071,"[(128, 'elu'), (32, 'relu'), (48, 'swish'), (64, 'relu'), (128, 'elu'), (96, 'elu')]","[17, 4, 6, 10, 17, 14, 18]"
9,0.9996457099914551,0.9109746813774109,0.947199821472168,0.8669502139091492,16777216,38731,3785,2159,8.821824759956042e-06,tensor(0.0442),22487,"[(128, 'swish'), (16, 'elu'), (32, 'elu'), (64, 'relu'), (32, 'relu'), (96, 'relu')]","[15, 2, 5, 10, 4, 13, 18]"
