,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,3.3767650165827945e-05,5857,"{'main': [(64, 'relu'), (16, 'relu'), (40, 'elu'), (1, '')], 'skip': []}","[13, 1, 8, 15]"
1,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,9.211536962538958e-06,8465,"{'main': [(32, 'swish'), (32, 'relu'), (32, 'elu'), (40, 'swish'), (40, 'elu'), (32, 'elu'), (1, '')], 'skip': []}","[3, 4, 5, 6, 8, 5, 15]"
2,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,2.363912426517345e-05,8817,"{'main': [(64, 'relu'), (48, 'relu'), (32, 'swish'), (1, '')], 'skip': []}","[13, 10, 3, 15]"
3,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,2.5364533939864486e-06,9969,"{'main': [(48, 'relu'), (64, 'relu'), (32, 'elu'), (16, 'elu'), (64, 'relu'), (1, '')], 'skip': []}","[10, 13, 5, 2, 13, 15]"
4,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,5.51667562831426e-06,11521,"{'main': [(48, 'relu'), (48, 'elu'), (32, 'elu'), (16, 'swish'), (40, 'elu'), (40, 'swish'), (40, 'swish'), (1, '')], 'skip': []}","[10, 11, 5, 0, 8, 6, 6, 15]"
5,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,6.510817001981195e-06,11793,"{'main': [(40, 'swish'), (32, 'relu'), (40, 'swish'), (40, 'elu'), (40, 'elu'), (40, 'elu'), (40, 'elu'), (1, '')], 'skip': []}","[6, 4, 6, 8, 8, 8, 8, 15]"
6,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,6.38059191260254e-06,12281,"{'main': [(40, 'swish'), (40, 'relu'), (48, 'swish'), (16, 'swish'), (32, 'elu'), (48, 'swish'), (64, 'elu'), (1, '')], 'skip': []}","[6, 7, 9, 0, 5, 9, 14, 15]"
7,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,1.6223332295339787e-06,12305,"{'main': [(64, 'relu'), (16, 'relu'), (48, 'elu'), (32, 'relu'), (48, 'swish'), (32, 'elu'), (48, 'swish'), (1, '')], 'skip': []}","[13, 1, 11, 4, 9, 5, 9, 15]"
8,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,1.102073656511493e-05,13537,"{'main': [(32, 'elu'), (64, 'relu'), (64, 'elu'), (64, 'elu'), (16, 'swish'), (1, '')], 'skip': []}","[5, 13, 14, 14, 0, 15]"
9,1.0,1.0,1.0,1.0,32768,1395,0,0,0.0,3.797833778662607e-05,13873,"{'main': [(48, 'relu'), (16, 'swish'), (48, 'relu'), (64, 'swish'), (32, 'swish'), (48, 'elu'), (48, 'swish'), (1, '')], 'skip': []}","[10, 0, 10, 12, 3, 11, 9, 15]"
